ts,procurement_price,quantity,_smoothed
2024-01-18 23:00:00+00:00,13.4,18.0,0
2024-01-19 00:00:00+00:00,0.0,0.0,0
2024-01-19 01:00:00+00:00,0.0,0.0,0
2024-01-19 02:00:00+00:00,0.0,0.0,0
2024-01-19 03:00:00+00:00,0.0,0.0,0
2024-01-19 04:00:00+00:00,16.85,60.0,0
2024-01-19 05:00:00+00:00,16.5,60.0,0
2024-01-19 06:00:00+00:00,20.0,60.0,0
2024-01-19 07:00:00+00:00,22.0,60.0,0
2024-01-19 08:00:00+00:00,17.6,60.0,0
2024-01-19 09:00:00+00:00,15.0,60.0,0
2024-01-19 10:00:00+00:00,15.0,60.0,0
2024-01-19 11:00:00+00:00,14.5,60.0,0
2024-01-19 12:00:00+00:00,14.5,60.0,0
2024-01-19 13:00:00+00:00,14.0,60.0,0
2024-01-19 14:00:00+00:00,14.5,60.0,0
2024-01-19 15:00:00+00:00,15.0,60.0,0
2024-01-19 16:00:00+00:00,16.0,60.0,0
2024-01-19 17:00:00+00:00,15.690000000000001,59.0,0
2024-01-19 18:00:00+00:00,16.0,60.0,0
2024-01-19 19:00:00+00:00,14.5,60.0,0
2024-01-19 20:00:00+00:00,14.305,60.0,0
2024-01-19 21:00:00+00:00,14.5,60.0,0
2024-01-19 22:00:00+00:00,15.184999999999999,60.0,0
2024-01-19 23:00:00+00:00,12.45,53.0,0
2024-01-20 00:00:00+00:00,0.0,0.0,0
2024-01-20 01:00:00+00:00,0.0,0.0,0
2024-01-20 02:00:00+00:00,0.0,0.0,0
2024-01-20 03:00:00+00:00,0.0,0.0,0
2024-01-20 04:00:00+00:00,13.265,57.0,0
2024-01-20 05:00:00+00:00,14.43,57.0,0
2024-01-20 06:00:00+00:00,15.39,60.0,0
2024-01-20 07:00:00+00:00,13.0,60.0,0
2024-01-20 08:00:00+00:00,12.65,60.0,0
2024-01-20 09:00:00+00:00,14.0,60.0,0
2024-01-20 10:00:00+00:00,14.0,51.0,0
2024-01-20 11:00:00+00:00,14.0,51.0,0
2024-01-20 12:00:00+00:00,13.379999999999999,60.0,0
2024-01-20 13:00:00+00:00,14.3,60.0,0
2024-01-20 14:00:00+00:00,18.8,60.0,0
2024-01-20 15:00:00+00:00,21.0,75.0,0
2024-01-20 16:00:00+00:00,20.465,73.0,0
2024-01-20 17:00:00+00:00,20.68,75.0,0
2024-01-20 18:00:00+00:00,18.8,60.0,0
2024-01-20 19:00:00+00:00,13.16,60.0,0
2024-01-20 20:00:00+00:00,13.3,60.0,0
2024-01-20 21:00:00+00:00,13.0,60.0,0
2024-01-20 22:00:00+00:00,12.6,60.0,0
2024-01-20 23:00:00+00:00,14.5,18.0,0
2024-01-21 00:00:00+00:00,0.0,0.0,0
2024-01-21 01:00:00+00:00,0.0,0.0,0
2024-01-21 02:00:00+00:00,0.0,0.0,0
2024-01-21 03:00:00+00:00,0.0,0.0,0
2024-01-21 04:00:00+00:00,17.035,30.0,0
2024-01-21 05:00:00+00:00,18.285,35.0,0
2024-01-21 06:00:00+00:00,16.475,30.0,0
2024-01-21 07:00:00+00:00,15.42,20.0,0
2024-01-21 08:00:00+00:00,15.67,25.0,0
2024-01-21 09:00:00+00:00,15.495000000000001,20.0,0
2024-01-21 10:00:00+00:00,15.17,30.0,0
2024-01-21 11:00:00+00:00,14.92,30.0,0
2024-01-21 12:00:00+00:00,14.67,28.0,0
2024-01-21 13:00:00+00:00,14.67,15.0,0
2024-01-21 14:00:00+00:00,15.76,27.0,0
2024-01-21 15:00:00+00:00,16.5,22.0,0
2024-01-21 16:00:00+00:00,15.65,15.0,0
2024-01-21 17:00:00+00:00,14.25,15.0,0
2024-01-21 18:00:00+00:00,15.5,22.0,0
2024-01-21 19:00:00+00:00,15.25,22.0,0
2024-01-21 20:00:00+00:00,15.165,15.0,0
2024-01-21 21:00:00+00:00,17.75,42.0,0
2024-01-21 22:00:00+00:00,19.375,60.0,0
2024-01-21 23:00:00+00:00,22.5,90.0,0
2024-01-22 00:00:00+00:00,0.0,0.0,0
2024-01-22 01:00:00+00:00,0.0,0.0,0
2024-01-22 02:00:00+00:00,0.0,0.0,0
2024-01-22 03:00:00+00:00,0.0,0.0,0
2024-01-22 04:00:00+00:00,29.630000000000003,105.0,0
2024-01-22 05:00:00+00:00,22.35,90.0,0
2024-01-22 06:00:00+00:00,17.895,30.0,0
2024-01-22 07:00:00+00:00,15.709999999999999,30.0,0
2024-01-22 08:00:00+00:00,13.5,26.0,0
2024-01-22 09:00:00+00:00,14.665,26.0,0
2024-01-22 10:00:00+00:00,14.165,21.0,0
2024-01-22 11:00:00+00:00,13.5,27.0,0
2024-01-22 12:00:00+00:00,13.0,27.0,0
2024-01-22 13:00:00+00:00,13.0,17.0,0
2024-01-22 14:00:00+00:00,14.165,30.0,0
2024-01-22 15:00:00+00:00,16.0,30.0,0
2024-01-22 16:00:00+00:00,13.690000000000001,15.0,0
2024-01-22 17:00:00+00:00,14.99,26.0,0
2024-01-22 18:00:00+00:00,13.690000000000001,15.0,0
2024-01-22 19:00:00+00:00,14.335,30.0,0
2024-01-22 20:00:00+00:00,18.005000000000003,30.0,0
2024-01-22 21:00:00+00:00,17.5,60.0,0
2024-01-22 22:00:00+00:00,22.435000000000002,75.0,0
2024-01-22 23:00:00+00:00,20.5,60.0,0
2024-01-23 00:00:00+00:00,0.0,0.0,0
2024-01-23 01:00:00+00:00,0.0,0.0,0
2024-01-23 02:00:00+00:00,0.0,0.0,0
2024-01-23 03:00:00+00:00,0.0,0.0,0
2024-01-23 04:00:00+00:00,23.54,60.0,0
2024-01-23 05:00:00+00:00,17.759999999999998,75.0,0
2024-01-23 06:00:00+00:00,17.5,46.0,0
2024-01-23 07:00:00+00:00,15.485,45.0,0
2024-01-23 08:00:00+00:00,14.5,45.0,0
2024-01-23 09:00:00+00:00,14.25,45.0,0
2024-01-23 10:00:00+00:00,13.655000000000001,45.0,0
2024-01-23 11:00:00+00:00,13.875,41.0,0
2024-01-23 12:00:00+00:00,13.875,41.0,0
2024-01-23 13:00:00+00:00,15.5,46.0,0
2024-01-23 14:00:00+00:00,13.77,45.0,0
2024-01-23 15:00:00+00:00,13.66,45.0,0
2024-01-23 16:00:00+00:00,14.105,45.0,0
2024-01-23 17:00:00+00:00,15.105,45.0,0
2024-01-23 18:00:00+00:00,14.355,45.0,0
2024-01-23 19:00:00+00:00,14.75,45.0,0
2024-01-23 20:00:00+00:00,16.695,45.0,0
2024-01-23 21:00:00+00:00,15.5,73.0,0
2024-01-23 22:00:00+00:00,19.68,105.0,0
2024-01-23 23:00:00+00:00,22.5,60.0,0
2024-01-24 00:00:00+00:00,0.0,0.0,0
2024-01-24 01:00:00+00:00,0.0,0.0,0
2024-01-24 02:00:00+00:00,0.0,0.0,0
2024-01-24 03:00:00+00:00,0.0,0.0,0
2024-01-24 04:00:00+00:00,22.0,60.0,0
2024-01-24 05:00:00+00:00,15.5,46.0,0
2024-01-24 06:00:00+00:00,13.5,45.0,0
2024-01-24 07:00:00+00:00,12.95,43.0,0
2024-01-24 08:00:00+00:00,12.45,28.0,0
2024-01-24 09:00:00+00:00,12.5,30.0,0
2024-01-24 10:00:00+00:00,12.86,32.0,0
2024-01-24 11:00:00+00:00,13.059999999999999,32.0,0
2024-01-24 12:00:00+00:00,13.04,32.0,0
2024-01-24 13:00:00+00:00,12.84,32.0,0
2024-01-24 14:00:00+00:00,13.0,32.0,0
2024-01-24 15:00:00+00:00,13.0,39.0,0
2024-01-24 16:00:00+00:00,12.5,30.0,0
2024-01-24 17:00:00+00:00,13.0,30.0,0
2024-01-24 18:00:00+00:00,12.6,30.0,0
2024-01-24 19:00:00+00:00,13.0,34.0,0
2024-01-24 20:00:00+00:00,13.5,33.0,0
2024-01-24 21:00:00+00:00,13.5,32.0,0
2024-01-24 22:00:00+00:00,15.0,33.0,0
2024-01-24 23:00:00+00:00,14.495000000000001,45.0,0
2024-01-25 00:00:00+00:00,0.0,0.0,0
2024-01-25 01:00:00+00:00,0.0,0.0,0
2024-01-25 02:00:00+00:00,0.0,0.0,0
2024-01-25 03:00:00+00:00,0.0,0.0,0
2024-01-25 04:00:00+00:00,22.5,60.0,0
2024-01-25 05:00:00+00:00,19.5,75.0,0
2024-01-25 06:00:00+00:00,17.05,75.0,0
2024-01-25 07:00:00+00:00,19.5,75.0,0
2024-01-25 08:00:00+00:00,13.035,75.0,0
2024-01-25 09:00:00+00:00,14.075,75.0,0
2024-01-25 10:00:00+00:00,14.5,75.0,0
2024-01-25 11:00:00+00:00,14.0,71.0,0
2024-01-25 12:00:00+00:00,12.5,56.0,0
2024-01-25 13:00:00+00:00,14.075,75.0,0
2024-01-25 14:00:00+00:00,15.85,75.0,0
2024-01-25 15:00:00+00:00,15.995000000000001,75.0,0
2024-01-25 16:00:00+00:00,19.5,75.0,0
2024-01-25 17:00:00+00:00,18.135,75.0,0
2024-01-25 18:00:00+00:00,17.835,75.0,0
2024-01-25 19:00:00+00:00,14.835,75.0,0
2024-01-25 20:00:00+00:00,15.1,75.0,0
2024-01-25 21:00:00+00:00,15.0,75.0,0
2024-01-25 22:00:00+00:00,13.0,75.0,0
2024-01-25 23:00:00+00:00,13.0,30.0,0
2024-01-26 00:00:00+00:00,0.0,0.0,0
2024-01-26 01:00:00+00:00,0.0,0.0,0
2024-01-26 02:00:00+00:00,0.0,0.0,0
2024-01-26 03:00:00+00:00,0.0,0.0,0
2024-01-26 04:00:00+00:00,14.5,45.0,0
2024-01-26 05:00:00+00:00,14.0,75.0,0
2024-01-26 06:00:00+00:00,15.465,75.0,0
2024-01-26 07:00:00+00:00,17.0,75.0,0
2024-01-26 08:00:00+00:00,12.6,60.0,0
2024-01-26 09:00:00+00:00,13.1,75.0,0
2024-01-26 10:00:00+00:00,16.0,60.0,0
2024-01-26 11:00:00+00:00,13.405000000000001,60.0,0
2024-01-26 12:00:00+00:00,12.5,60.0,0
2024-01-26 13:00:00+00:00,11.895,60.0,0
2024-01-26 14:00:00+00:00,11.645,60.0,0
2024-01-26 15:00:00+00:00,11.844999999999999,60.0,0
2024-01-26 16:00:00+00:00,12.5,60.0,0
2024-01-26 17:00:00+00:00,12.5,60.0,0
2024-01-26 18:00:00+00:00,11.95,60.0,0
2024-01-26 19:00:00+00:00,11.395,60.0,0
2024-01-26 20:00:00+00:00,11.895,60.0,0
2024-01-26 21:00:00+00:00,12.395,60.0,0
2024-01-26 22:00:00+00:00,13.5,60.0,0
2024-01-26 23:00:00+00:00,12.45,60.0,0
2024-01-27 00:00:00+00:00,0.0,0.0,0
2024-01-27 01:00:00+00:00,0.0,0.0,0
2024-01-27 02:00:00+00:00,0.0,0.0,0
2024-01-27 03:00:00+00:00,0.0,0.0,0
2024-01-27 04:00:00+00:00,12.2,60.0,0
2024-01-27 05:00:00+00:00,11.899999999999999,60.0,0
2024-01-27 06:00:00+00:00,12.3,60.0,0
2024-01-27 07:00:00+00:00,14.5,81.0,0
2024-01-27 08:00:00+00:00,14.5,81.0,0
2024-01-27 09:00:00+00:00,12.3,80.0,0
2024-01-27 10:00:00+00:00,12.3,80.0,0
2024-01-27 11:00:00+00:00,12.379999999999999,80.0,0
2024-01-27 12:00:00+00:00,12.74,80.0,0
